target,row,prediction,category,recommendation
FinanceKey,0,38406.54296875,High,Offer advanced opportunities
FinanceKey,1,12485.8173828125,High,Offer advanced opportunities
FinanceKey,2,21570.40625,High,Offer advanced opportunities
FinanceKey,3,9744.3095703125,High,Offer advanced opportunities
FinanceKey,4,112.25708770751953,High,Offer advanced opportunities
DateKey,0,20080601.0,High,Offer advanced opportunities
DateKey,1,20060601.0,High,Offer advanced opportunities
DateKey,2,20070201.0,High,Offer advanced opportunities
DateKey,3,20060301.0,High,Offer advanced opportunities
DateKey,4,20050701.0,High,Offer advanced opportunities
OrganizationKey,0,3.2921462059020996,Low,Immediate support required
OrganizationKey,1,3.3324296474456787,Low,Immediate support required
OrganizationKey,2,11.845991134643555,Low,Immediate support required
OrganizationKey,3,5.973486423492432,Low,Immediate support required
OrganizationKey,4,3.0766518115997314,Low,Immediate support required
DepartmentGroupKey,0,6.37391471862793,Low,Immediate support required
DepartmentGroupKey,1,7.064377307891846,Low,Immediate support required
DepartmentGroupKey,2,4.844271183013916,Low,Immediate support required
DepartmentGroupKey,3,6.921769618988037,Low,Immediate support required
DepartmentGroupKey,4,5.8952107429504395,Low,Immediate support required
ScenarioKey,0,1.0,Low,Immediate support required
ScenarioKey,1,1.0,Low,Immediate support required
ScenarioKey,2,1.0,Low,Immediate support required
ScenarioKey,3,1.0,Low,Immediate support required
ScenarioKey,4,1.1933333333333334,Low,Immediate support required
AccountKey,0,100.7,High,Offer advanced opportunities
AccountKey,1,34.94,Low,Immediate support required
AccountKey,2,77.56,High,Offer advanced opportunities
AccountKey,3,77.29333333333334,High,Offer advanced opportunities
AccountKey,4,93.16,High,Offer advanced opportunities
Amount,0,397737.9375,High,Offer advanced opportunities
Amount,1,31602.505859375,High,Offer advanced opportunities
Amount,2,-106.62000274658203,Low,Immediate support required
Amount,3,-2015.3779296875,Low,Immediate support required
Amount,4,76190.1875,High,Offer advanced opportunities
